eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
36.94,-0.6100000143051147,147.0,0.004381909500807524,0.0485432930290699,2.703780174255371,-0.003068996826186776,0.27955785393714905,-0.011360645294189453,1.0,256.0,55.622812499999995,8192.0
40.53,-0.800000011920929,577.0,0.003357312409207225,0.0402425117790699,2.6779286861419678,-0.0028079634066671133,0.18667680025100708,0.0011085867881774902,10.0,2560.0,189.37090090000004,81920.0
39.76,-0.4099999964237213,490.0,0.004250075202435255,0.0327962227165699,2.640681743621826,-0.003425051225349307,0.18347066640853882,0.09145975112915039,20.0,5120.0,343.36609830000003,163840.0
40.77,-0.23000000417232513,123.0,0.0035814123693853617,0.0371500663459301,2.5766594409942627,-0.004449912812560797,0.11761675029993057,0.3576211929321289,30.0,7680.0,554.4386963,245760.0
38.7,0.0,534.0,0.008373049087822437,0.1014404296875,2.540330410003662,-0.004845589864999056,0.08339881151914597,0.4918872117996216,40.0,10240.0,714.2433417999999,327680.0
35.79,0.10999999940395355,484.0,0.006887864787131548,0.0756429061293602,2.5138139724731445,-0.005232671275734901,0.0611254908144474,0.5461432635784149,50.0,12800.0,873.5981898,409600.0
36.35,0.20999999344348907,524.0,0.009046543389558792,0.1147054061293602,2.5238373279571533,-0.007334499154239893,0.11491388827562332,0.5194447636604309,60.0,15360.0,1033.6233949999998,491520.0
38.74,0.05000000074505806,519.0,0.008638058789074421,0.0974527969956398,2.496901750564575,-0.006492589134722948,0.1374388039112091,0.27276140451431274,70.0,17920.0,1193.4522067,573440.0
38.21,0.33000001311302185,523.0,0.009657299146056175,0.0978597030043602,2.4663312435150146,-0.006264489144086838,0.09922950714826584,0.3725086450576782,80.0,20480.0,1354.5867799,655360.0
36.18,0.44999998807907104,507.0,0.012067916803061962,0.135009765625,2.3889081478118896,-0.00743320444598794,0.05790666118264198,0.6024652421474457,90.0,23040.0,1514.5844585,737280.0
37.58,0.5699999928474426,531.0,0.00879523903131485,0.1029052734375,2.38216495513916,-0.007325287908315659,0.0613560825586319,0.7721023857593536,100.0,25600.0,1676.1649808,819200.0
36.18,0.5299999713897705,521.0,0.010330218821763992,0.1099039688706398,2.3412420749664307,-0.007914921268820763,0.0801122710108757,0.6799692213535309,110.0,28160.0,1836.40907,901120.0
38.8,0.699999988079071,532.0,0.01132814958691597,0.126220703125,2.3255105018615723,-0.008095369674265385,0.06277670711278915,0.7350945472717285,120.0,30720.0,2003.3849383000002,983040.0
34.22,0.5899999737739563,480.0,0.011293881572782993,0.128662109375,2.3070216178894043,-0.006869988050311804,0.08315339684486389,0.565609335899353,130.0,33280.0,2164.2088344999997,1064960.0
35.46,0.49000000953674316,480.0,0.011521781794726849,0.12939453125,2.2901670932769775,-0.006588488817214966,0.061633381992578506,0.6778880953788757,140.0,35840.0,2327.1597573999998,1146880.0
36.65,0.7400000095367432,497.0,0.010558526031672955,0.1186116561293602,2.2872159481048584,-0.00941476784646511,0.051024530082941055,0.7505127787590027,150.0,38400.0,2486.1362236,1228800.0
40.31,0.7900000214576721,484.0,0.009065693244338036,0.1055908203125,2.2698071002960205,-0.009379166178405285,0.09053320437669754,0.667619377374649,160.0,40960.0,2643.630932,1310720.0
34.97,0.6800000071525574,501.0,0.010580141097307205,0.1117757186293602,2.289393186569214,-0.008403084240853786,0.047165896743535995,0.7646245658397675,170.0,43520.0,2799.0976735,1392640.0
37.45,0.6399999856948853,508.0,0.014654786325991154,0.1424153596162796,2.2671148777008057,-0.007812224794179201,0.06361408531665802,0.754602462053299,180.0,46080.0,2959.5237615,1474560.0
39.96,0.7699999809265137,517.0,0.011360329575836658,0.118896484375,2.264055013656616,-0.00978985894471407,0.03977223113179207,0.8469005823135376,190.0,48640.0,3117.0926753999997,1556480.0
40.07,0.7699999809265137,508.0,0.01478076446801424,0.1323649138212204,2.2543599605560303,-0.006700746715068817,0.05810694023966789,0.8206163048744202,200.0,51200.0,3276.5430722,1638400.0
39.0,0.7699999809265137,491.0,0.0147182522341609,0.1236979141831398,2.2357475757598877,-0.006955593824386597,0.09996303170919418,0.706818163394928,210.0,53760.0,3435.5692909,1720320.0
38.88,0.5,521.0,0.011581535451114178,0.1363118439912796,2.3101420402526855,-0.009336278773844242,0.07277165353298187,0.7451775670051575,220.0,56320.0,3593.5070478,1802240.0
39.82,0.7699999809265137,509.0,0.012095440179109573,0.1379801481962204,2.2585763931274414,-0.01074459683150053,0.07834780961275101,0.7656690627336502,230.0,58880.0,3751.3233399,1884160.0
40.54,0.7900000214576721,535.0,0.013259257189929485,0.1280517578125,2.1742918491363525,-0.005013297777622938,0.0743388906121254,0.7699104696512222,240.0,61440.0,3907.524698,1966080.0
42.59,0.8299999833106995,556.0,0.01224922388792038,0.1138916015625,2.181436777114868,-0.007693892810493708,0.08010221272706985,0.8606993705034256,250.0,64000.0,4062.5551283,2048000.0
45.0,1.0700000524520874,515.0,0.011115078814327717,0.1207682266831398,2.145897626876831,-0.010210967622697353,0.0728454738855362,0.8461335599422455,260.0,66560.0,4223.017985400001,2129920.0
