eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
37.17,-0.47999998927116394,137.0,0.001516742049716413,0.0018717447528615594,2.7065067291259766,-0.0019084768136963248,0.3430975675582886,-0.04138505458831787,1.0,256.0,59.6748441,8192.0
41.43,-0.7599999904632568,675.0,0.0014501238474622369,0.0013427734375,2.6751296520233154,-0.001646486110985279,0.16587769985198975,0.07676160335540771,10.0,2560.0,169.07481289999998,81920.0
39.1,-0.6399999856948853,680.0,0.0037700782995671034,0.01835123635828495,2.5929152965545654,-0.0023219608701765537,0.16267524659633636,0.09351563453674316,20.0,5120.0,291.12506989999997,163840.0
40.42,-0.25,669.0,0.005131712649017572,0.04736328125,2.4892995357513428,-0.002201563911512494,0.14251990616321564,0.1707669496536255,30.0,7680.0,413.34503689999997,245760.0
39.65,-0.4399999976158142,652.0,0.0008439773228019476,0.00032552084303461015,2.4858238697052,-0.0005441425018943846,0.15666459500789642,0.23922979831695557,40.0,10240.0,535.5058445,327680.0
38.18,-0.3400000035762787,660.0,0.0036339694634079933,0.0318196602165699,2.411097288131714,-0.002568557159975171,0.15606410801410675,0.45342814922332764,50.0,12800.0,658.1035466000001,409600.0
39.24,-0.2199999988079071,679.0,0.0036778654903173447,0.0312906913459301,2.4505956172943115,-0.0015172925777733326,0.12419265508651733,0.2655497193336487,60.0,15360.0,780.3759596,491520.0
40.05,-0.1599999964237213,691.0,0.00632436154410243,0.06201171875,2.4899492263793945,-0.001930219936184585,0.1568327695131302,0.21958237886428833,70.0,17920.0,902.7754003,573440.0
39.7,-0.1599999964237213,665.0,0.00983784906566143,0.089599609375,2.5208325386047363,-0.00012682273518294096,0.09972412139177322,0.3138507008552551,80.0,20480.0,1024.8345577999999,655360.0
38.72,-0.14000000059604645,674.0,0.0023246908094733953,0.020263671875,2.5498878955841064,-0.0023685290943831205,0.09536188095808029,0.32099682092666626,90.0,23040.0,1148.2581997999998,737280.0
35.1,0.029999999329447746,681.0,0.004722000565379858,0.0555826835334301,2.512331008911133,-0.001965506002306938,0.0943317785859108,0.3727549910545349,100.0,25600.0,1271.0429660999998,819200.0
36.45,0.20999999344348907,671.0,0.006517875473946333,0.0481770820915699,2.476564645767212,-0.0011233281111344695,0.13314436376094818,0.10345155000686646,110.0,28160.0,1393.6471545,901120.0
39.13,0.10000000149011612,674.0,0.010020497255027294,0.058837890625,2.486034631729126,-0.0003009678330272436,0.09380330890417099,0.15046268701553345,120.0,30720.0,1515.3171003,983040.0
