eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
39.43,-0.3199999928474426,148.0,0.0015006746398285031,0.0008951823110692203,2.7065250873565674,-0.0024663240183144808,0.2456415742635727,-9.930133819580078e-05,1.0,256.0,55.31541039999999,8192.0
38.92,-0.5899999737739563,608.0,0.0029936570208519697,0.008992512710392475,2.6548173427581787,-0.0006833556108176708,0.1690209060907364,0.04293030500411987,10.0,2560.0,178.7093157,81920.0
42.15,-0.6899999976158142,593.0,0.0022052309941500425,0.008382161147892475,2.5785467624664307,-0.0025088407564908266,0.14411917328834534,0.2413114309310913,20.0,5120.0,315.7261675,163840.0
37.94,-0.47999998927116394,606.0,0.004149982240051031,0.0446370430290699,2.5276482105255127,-0.0008848143625073135,0.14466619491577148,0.3841931223869324,30.0,7680.0,452.1943225,245760.0
37.78,-0.029999999329447746,596.0,0.007256799843162298,0.0856119766831398,2.541396379470825,-0.0030678976327180862,0.06300870329141617,0.3704562187194824,40.0,10240.0,589.4646786,327680.0
38.08,0.11999999731779099,601.0,0.009732459671795368,0.1073811873793602,2.542879819869995,-0.002530393423512578,0.0948885902762413,0.4394208788871765,50.0,12800.0,728.421435,409600.0
38.54,0.4399999976158142,600.0,0.009613028727471828,0.1103515625,2.5342347621917725,-0.00456382567062974,0.055150050669908524,0.34343409538269043,60.0,15360.0,864.2210557999999,491520.0
36.47,0.3799999952316284,606.0,0.008194944821298122,0.0982666015625,2.4836440086364746,-0.0036717720795422792,0.0769369974732399,0.4793577790260315,70.0,17920.0,1002.3931594000001,573440.0
37.86,0.47999998927116394,598.0,0.01064619142562151,0.113525390625,2.481024980545044,-0.005817340221256018,0.05882146582007408,0.6012142896652222,80.0,20480.0,1139.4501139,655360.0
38.02,0.6800000071525574,598.0,0.009056846611201763,0.0944010391831398,2.417232036590576,-0.0071602389216423035,0.09576768428087234,0.5555813014507294,90.0,23040.0,1277.1755046,737280.0
39.14,0.4000000059604645,583.0,0.010596358217298985,0.1082763671875,2.42734694480896,-0.00348496506921947,0.09931749850511551,0.5018648207187653,100.0,25600.0,1415.5161492,819200.0
39.96,0.41999998688697815,600.0,0.010057065635919571,0.0996500626206398,2.412287950515747,-0.00479735154658556,0.1472293585538864,0.49761712551116943,110.0,28160.0,1552.7268636,901120.0
38.54,0.6899999976158142,597.0,0.0094388322904706,0.1024983748793602,2.3778321743011475,-0.008418554440140724,0.09877481311559677,0.6142877340316772,120.0,30720.0,1689.7698817,983040.0
