eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
38.56,-0.6899999976158142,1207.0,0.004567277617752552,0.0184326171875,2.703383684158325,-0.0027617616578936577,0.5592052340507507,-0.35031628608703613,1.0,256.0,6.7846531,8192.0
36.63,-0.75,2034.0,0.004918144084513187,0.0431315116584301,2.678004503250122,-0.0027185846120119095,0.20296631753444672,0.07355034351348877,10.0,2560.0,43.9576661,81920.0
39.17,-0.5299999713897705,1960.0,0.0049622636288404465,0.0545247383415699,2.5907373428344727,-0.002188033191487193,0.17812006175518036,0.2789834141731262,20.0,5120.0,84.7272528,163840.0
38.03,-0.1899999976158142,1999.0,0.0063671269454061985,0.0778401717543602,2.5871498584747314,-0.00461658975109458,0.1261487603187561,0.36169666051864624,30.0,7680.0,125.92351529999999,245760.0
36.31,-0.27000001072883606,1998.0,0.008008251897990704,0.0990804061293602,2.579486131668091,-0.006149205844849348,0.12164801359176636,0.41247010231018066,40.0,10240.0,166.7399618,327680.0
35.82,-0.20000000298023224,2111.0,0.01207809615880251,0.1532389372587204,2.476735830307007,-0.005612492095679045,0.12367445975542068,0.2804054617881775,50.0,12800.0,207.6257905,409600.0
37.08,0.1899999976158142,1981.0,0.009701036848127842,0.1279703825712204,2.494912624359131,-0.004174011293798685,0.0548969991505146,0.2534259557723999,60.0,15360.0,248.1213037,491520.0
38.05,0.12999999523162842,2042.0,0.01364585105329752,0.1689453125,2.4802260398864746,-0.004034776706248522,0.08937597274780273,0.24631565809249878,70.0,17920.0,287.9764569,573440.0
38.09,0.14000000059604645,2061.0,0.011882047168910503,0.1551106721162796,2.444196939468384,-0.007205242291092873,0.0923261046409607,0.35639703273773193,80.0,20480.0,327.4022291,655360.0
37.75,0.28999999165534973,2051.0,0.012010722421109676,0.1507161408662796,2.4024083614349365,-0.00793419312685728,0.08725769072771072,0.34516483545303345,90.0,23040.0,367.7696796,737280.0
34.59,0.1899999976158142,2077.0,0.011906281113624573,0.1558837890625,2.410123109817505,-0.007771785836666822,0.08611097931861877,0.33872491121292114,100.0,25600.0,407.4425502,819200.0
38.64,0.4399999976158142,1926.0,0.014110890217125416,0.17236328125,2.420356035232544,-0.0077715287916362286,0.06576109677553177,0.5313477516174316,110.0,28160.0,447.670117,901120.0
35.7,0.4699999988079071,2040.0,0.014721213839948177,0.1899007111787796,2.383532762527466,-0.009730850346386433,0.07694339007139206,0.5222907662391663,120.0,30720.0,487.5374974,983040.0
